company_urls,company_name,founded_date,batch,team_size,status,location,slogan,company_website_url,company_types,founder_1,founder_2,founder_3
https://www.ycombinator.com/companies/gaus,gaus,2025,Summer 2025,2,Active,San Francisco,AI agents for individual investors,https://www.joingaus.com/,"ARTIFICIAL-INTELLIGENCE, FINTECH, INVESTING, CONSUMER-FINANCE","Bruno Koba
Founder
CEO @ Gaus. Building Cursor for individual investors. Stanford GSB and ex-Nubank, monashees.","Daniel Tulha Hochstetler
Founder
CTO @ Gaus, building Cursor for individual investors. Previously at Stripe, Robinhood & Amazon.",Not available
https://www.ycombinator.com/companies/gauss,gauss,2021,Winter 2022,16,Active,New York,Lower interest rates on existing credit cards,https://gauss.money/,"FINTECH, CONSUMER","Alex Matsenov
Founder
Alex is the co-founder and CEO of Gauss Money. Alex led credit at Nordea Bank and MDM Bank. He's a 3x founder, 2x YC. Alex has an advance degree in machine learning, was a late stage venture investor in the machine learning space, and is a huge fan of fundamental physics and artificial intelligence research.","Abdullo Akhadov
Founder
Abdullo is the co-founder and COO of Gauss. He has a 17+ years management tenure in credit risk, compliance, operations, and technology with the largest financial institutions in Europe and the Asia Pacific (JPK, ASEAN, ANZ, Greater China).",Not available
https://www.ycombinator.com/companies/gazehawk,gazehawk,Not available,Summer 2010,2,Acquired,Mountain View,Eyetracking using webcams.,http://gazehawk.com/,COMPUTER-VISION,"Brian Krausz
Founder
Working to make APIs better","Joe Gershenson
Founder",Not available
https://www.ycombinator.com/companies/gbatteries,gbatteries,2014,Winter 2014,25,Active,"Ottawa, Canada",Enabling li-ion batteries to charge ultra fast without compromising…,https://www.gbatteries.com/,"ENERGY-STORAGE, HARD-TECH, CLIMATE","Tim Sherstyuk
Founder/CCO
2020 Forbes 30 Under 30 - Energy","Nick Sherstyuk
Founder",Not available
https://www.ycombinator.com/companies/gecko-robotics,gecko-robotics,2016,Winter 2016,230,Active,"Pittsburgh, PA",AI + Robotics for the Built World,https://www.geckorobotics.com/,"ARTIFICIAL-INTELLIGENCE, ROBOTICS, ENERGY, BIG-DATA, DATA-ENGINEERING","Jake Loosararian
Founder/CEO
Co-Founder and CEO of Gecko Robotics","Troy Demmer
Founder/COO",Not available
https://www.ycombinator.com/companies/gecko-security,gecko-security,2024,Fall 2024,2,Active,San Francisco,The AI Security Engineer to Find and Fix Vulnerabilities,https://gecko.security/,"ARTIFICIAL-INTELLIGENCE, SAAS, B2B, SECURITY, CYBERSECURITY","Jeevan Jutla
Founder
Jeevan, Co-Founder and CEO of Gecko Security, has previously worked as a security researcher for UK Intelligence (GCHQ and MI5), where he built automated security tools to protect national infrastructure. He’s ranked in the top 500 globally for competitive hacking and has co-developed machine learning tools for vulnerability research, 3 years ahead of public research.","Artemiy Malyshau
Founder
Artemiy holds an MSc from Imperial College London, where he was a scholar. He has contributed to research in multi-agent systems and reinforcement learning. As the first employee and only non-PhD member at his previous company, he developed threat intelligence software for Interpol and national governments.",Not available
https://www.ycombinator.com/companies/gem,gem,2017,Summer 2017,200,Active,San Francisco,Talent engagement platform,https://www.gem.com/,"SAAS, B2B, RECRUITING","Steven Bartel
Founder/CEO
Co-founder & CEO @ Gem. Prior to founding Gem, Steve was an engineering leader at Dropbox where his experience working closely with the recruiting process allowed him to see the lack of technology in the space. This inspired him to co-found Gem, which allows recruiting teams of all sizes to source talent, engage with talent, and use data to improve recruiting processes.",Not available,Not available
https://www.ycombinator.com/companies/gemnote,gemnote,Not available,Summer 2015,40,Active,"San Leandro, CA","Gemnote is the easiest way to design, create and send custom products.",http://gemnote.com/,"E-COMMERCE, CUSTOMIZATION","Ashley Wong
Founder/CEO",Not available,Not available
https://www.ycombinator.com/companies/gen1e-lifesciences,gen1e-lifesciences,2018,Summer 2019,Not available,Active,Palo Alto,AI platform accelerating therapies for rare & inflammatory diseases.,https://www.gen1e.com/,"ARTIFICIAL-INTELLIGENCE, BIOTECH, HEALTHCARE, DRUG-DISCOVERY","Ritu Lal
Founder",Not available,Not available
https://www.ycombinator.com/companies/genecis-bio,genecis-bio,2017,Winter 2020,30,Active,"Toronto, Canada",Makes guilt-free plastics from food waste,https://www.genecis.co/,"BIOPLASTIC, SYNTHETIC-BIOLOGY, CLIMATE, CLIMATETECH","Luna Yu
Founder",Not available,Not available
https://www.ycombinator.com/companies/general-agency,general-agency,2024,Winter 2025,2,Active,San Francisco,AI coworkers that can learn and act just like a human,https://heytessa.ai/,"ARTIFICIAL-INTELLIGENCE, HARD-TECH, REINFORCEMENT-LEARNING, AUTOMATION, AI-ASSISTANT","Mo Nasir
Founder & CEO
Co-founder and CEO of Tessa, an AI coworker that can learn and master new skills like a human does. Previously worked on self-driving cars at NVIDIA.

Chinese loose leaf tea connoisseur 🍵","Harvey Hu
Founder
Co-founder and CTO of General Agency. Previously machine learning engineer at Google & TikTok, designing recommendation algorithms for billions of users. I love models, probabilities, and solving complex impactful problems",Not available
https://www.ycombinator.com/companies/general-proximity,general-proximity,Not available,Winter 2020,15,Active,San Francisco,The next generation of induced-proximity medicines.,https://www.generalproximity.bio/,"BIOTECH, DRUG-DISCOVERY","Armand Cognetta
Founder
Armand completed his PhD in Chemical Biology at the Scripps Research Institute under the supervision of Dr. Benjamin F. Cravatt. There he co-authored 19 scientific publications in prestigious journals such as Cell, Nature, and Science, as well as multiple patents, including a portion of the foundational IP for Abide Therapeutics (acq. Lundbeck) and Vividion Therapeutics (acq. Bayer). Prior to founding GP he was an early employee at the Flagship Pioneering start-up Inzen Tx (now Sonata).",Not available,Not available
https://www.ycombinator.com/companies/general-trajectory,general-trajectory,2024,Winter 2025,1,Active,San Francisco,Reasoning models for robotics,https://www.generaltrajectory.com/,"ROBOTICS, SUPPLY-CHAIN, AUTOMATION, AI","Joshua Belofsky
Founder
Recent graduate focusing on general AI for industrial robots. Background is in academic ML research.",Not available,Not available
https://www.ycombinator.com/companies/genius,genius,2009,Summer 2011,101,Acquired,NY,Music Intelligence,https://genius.com/,MUSIC,"Tom Lehman
Founder/CEO","Ilan Zechory
Founder",Not available
https://www.ycombinator.com/companies/genomelink,genomelink,2017,Summer 2021,15,Active,"Berkeley, CA",DNA App Store,https://genomelink.io/,"CONSUMER-HEALTH-SERVICES, GENOMICS","Tomohiro Takano
Founder
Co-founder and CEO at Genomelink","Yuta Matsuda
Founder
Co-founder and COO at Genomelink.","Kensuke Numakura
Founder
Co-Founder and CTO of Genomelink"
https://www.ycombinator.com/companies/georgette-packaging,georgette-packaging,2013,Winter 2016,15,Inactive,"Kitchener, Canada",Carbon neutral packaging for ambitious businesses.,http://www.georgettepackaging.com/,"LOGISTICS, CLIMATE","Sarah Landstreet
Founder/CEO
Mechanical engineer, professionally certified sheep shearer, former bakery owner, MBA, cares for the planet and just wants to make things better.",Not available,Not available
https://www.ycombinator.com/companies/geosite,geosite,2019,Winter 2019,40,Acquired,Palo Alto,Geosite is an enterprise SaaS platform for spatial data.,https://www.geosite.io/,"SAAS, GEOGRAPHIC-INFORMATION-SYSTEM","Rachel Olney
Founder",Not available,Not available
https://www.ycombinator.com/companies/gerald-technologies-inc,gerald-technologies-inc,Not available,Winter 2021,12,Active,New York,Buy Now Pay Later + Cash Advance for Household Essentials,https://www.joingerald.com/,"FINTECH, PAYMENTS, CONSUMER","Ola Okeshola
Founder
Founder joingerald.com
ex ceo @quick.me; conduet-med.com
ex-wallstreet executive - VP @ Neuberger Berman
@yale @georgetown","Nikos Karamolegkos
Founder
PhD from Columbia University
Ex-Data Scientist and Project Leader at Philips",Not available
https://www.ycombinator.com/companies/gerostate-alpha,gerostate-alpha,Not available,Summer 2018,6,Inactive,"Novato, CA",Developing novel therapeutics for aging and chronic disease,http://www.gerostatealpha.com/,"BIOTECH, THERAPEUTICS","Gordon J Lithgow
Founder","Mark Lucanic
Founder","Simon Melov
Founder"
https://www.ycombinator.com/companies/getaccept,getaccept,2016,Winter 2016,200,Active,San Francisco,Close deals faster. Digitally.,https://www.getaccept.com/,"DOCUMENTS, SAAS, PRODUCTIVITY, SALES","Samir Smajic
Founder/CEO","Jonas Blanck
Founder
Serial entrepreneur building and growing software based companies. Enjoy learning new things and to challenge technology.
Developing autonomous cars, boats and robots as side projects with a passion for computer vision and machine learning.
Latest hobby project: SunChallenger - The Autonomous Solar-Powered Vessel","Mathias Thulin
Founder/Executive Partner
I want to live in a world where emails are short, business happens in a natural way and people care about each other. 
With a technical background with a degree in Master of Science in Engineering I have the experience to combine technology and sales to create successful companies with strong culture. I've founded companies within Lead Management, Marketing Automation and Sales Enablement with a true passion to make the life easier for every sales rep. 
I also run a charity project STATEMENT"
https://www.ycombinator.com/companies/getcho,getcho,2022,Fall 2024,3,Active,New York,The reliability platform for last-mile delivery,https://getcho.app/,"SAAS, DELIVERY, LOGISTICS, E-COMMERCE, RETAIL-TECH","Jack Considine
Founder
I'm building last-mile delivery technology at Getcho.

Before Getcho, I built and ran a software development firm for seven years, scaling to 8 full-time engineers. We developed a specialty for GPS-driven platforms, two of which were acquired. A third set the standard in the pig-tracking industry, supporting $11m in annual contracts.","Mike Considine
Founder
At Getcho, I’m building software for streamlining and managing last-mile delivery at scale. I was previously Head of Product at K-Optional Software, where I oversaw the development of dozens of custom software products, including two that were acquired.","Evandro Nadal
Founder
At Getcho, I’ve overseen thousands of deliveries and worked closely with customers to understand their workflows, improve processes, and ensure smooth operations. Previously, I co-founded K-Optional, a software consultancy specializing in logistics platforms."
