company_urls,company_name,founded_date,batch,team_size,status,location,slogan,company_website_url,company_types,founder_1,founder_2,founder_3
https://www.ycombinator.com/companies/glide,glide,2019,Winter 2019,40,Active,San Francisco,"Create the app your business needs, without coding.",https://www.glideapps.com/,NO-CODE,"Mark Probst
Founder","David Siegel
Founder","Jason Smith
Founder"
https://www.ycombinator.com/companies/glide-2,glide-2,2023,Summer 2023,2,Active,New York,"Crypto Deposits, Wallet Funding, and Pay-with-crypto Infra",https://buildwithglide.com/,"DEVELOPER-TOOLS, CRYPTO-WEB3, B2B, API, INFRASTRUCTURE","Tushar Soni
Founder
Co-founder, CEO @ Glide (buildwithglide.com)

Prior to starting Glide, I was a tech lead at Robinhood Crypto building the Robinhood Wallet app. Previously, I worked on large-scale consumer apps such as Uber Eats, Apple Music, and App Store.

I also created and maintain Copper (https://gocopper.dev) - a fullstack toolkit to build web apps in Go.","Qinyu Tong
Founder
I'm the co-founder at WalletKit building the best developer platform for web3 consumer app developers. Prior WalletKit, I was at Robinhood Crypto building the Robinhood Wallet. Previously, I worked at LinkedIn on enterprise infra such as Ads API, AI Infra.",Not available
https://www.ycombinator.com/companies/glider,glider,Not available,Winter 2012,2,Inactive,"Portland, OR",We filter distracting emails away from your inbox.,http://glider.io/,"PRODUCTIVITY, EMAIL","Brandon Paton
Founder
Founder of Localize, a translation management platform for companies expanding into international and multilingual markets.","Henry Liu
Founder","John Marbach
Founder"
https://www.ycombinator.com/companies/glimpse,glimpse,2019,Winter 2020,5,Acquired,San Francisco,A social video chat.,https://www.joinglimpse.com/,"COMMUNITY, SOCIAL","Brian Li
Founder
Founder at Frens | Investor at Orange DAO | prev. Co-founder at Glimpse (YCW20 acquired)

Always happy to help fellow founders with pitch and strategy!",Not available,Not available
https://www.ycombinator.com/companies/glimpse-2,glimpse-2,2020,Summer 2020,3,Active,New York,Glimpse offers AI services for retail brands starting with deductions,https://tryglimpse.com/,"ARTIFICIAL-INTELLIGENCE, E-COMMERCE, FOOD-&-BEVERAGE, RETAIL","Akash Raju
Founder
Co-founder and CEO of Glimpse","Anuj Mehta
Founder
Co-Founder & CPO @ Glimpse","Kushal Negi
Founder
Co-Founder & CTO at Glimpse"
https://www.ycombinator.com/companies/glimpse-k12,glimpse-k12,Not available,Winter 2018,6,Acquired,"Huntsville, AL",Glimpse eliminates ineffective spending in schools.,http://www.glimpsek12.com/,"EDUCATION, ANALYTICS","Adam Pearson
Founder","Nicole Pezent
Founder",Not available
https://www.ycombinator.com/companies/glio,glio,2011,Summer 2013,2,Inactive,"Rio de Janeiro, Brazil",Amazon Marketplace for Latin America,http://glio.com/,"MARKETPLACE, E-COMMERCE","João de Paula
Founder/CTO
Co-Founder and CEO at Mesmer (X25). Previously cofounder at Origin Financial ($400M) and Glio (S13), first LatAm company to go through YC. Serial entrepreneur, self-taught engineer, and product leader with 15 years of experience making something people love.",Not available,Not available
https://www.ycombinator.com/companies/glisten-ai,glisten-ai,2019,Winter 2020,1,Inactive,San Francisco,Glisten AI automatically categorizes and tags e-commerce product data.,http://glisten.ai/,"ARTIFICIAL-INTELLIGENCE, E-COMMERCE","Sarah Wooders
Founder
http://sarahwooders.com",Not available,Not available
https://www.ycombinator.com/companies/glitzi,glitzi,2019,Summer 2021,33,Active,"Mexico City, Mexico","At-home spa, beauty & grooming services marketplace for LatAm",https://glitzi.com.mx/,"MARKETPLACE, BEAUTY, HEALTH-&-WELLNESS","Ana Ramos
Founder
CEO & Co-founder at Glitzi. 
Early stage VC investor turned entrepreneur to help latin americans access good quality wellness, beauty and grooming services at-home when they need them.","Luis Enrique Vazquez
Founder
Luis is a programmer who for a long time was focused on the development of mobile applications

Before joining Glitzi, Luis spent several years working as developers for small companies and large corporations in various cities in Mexico. After acquiring a great experience in the development and entrepreneurship environment, he decided to undertake several projects until he teamed up with Ana Ramos to create Glitzi

Luis is very passionate about finding solutions to complicated problems",Not available
https://www.ycombinator.com/companies/global-belly,global-belly,2019,Winter 2020,2,Inactive,San Francisco,Marketplace enabling social commerce for brands and content creators.,https://globalbelly.com/,"MARKETPLACE, CONSUMER, SOCIAL, FOOD-TECH, CREATOR-ECONOMY","Ankita Sharma
Founder","Madhuri Sharma
Founder",Not available
https://www.ycombinator.com/companies/globe,globe,2018,Winter 2019,20,Active,Seychelles,coinbase for derivatives,https://globe.exchange/,"DEFI, FINTECH","James West
Founder/CEO","Shaun Ng
Founder/CTO",Not available
https://www.ycombinator.com/companies/glow-energy,glow-energy,2022,Winter 2022,6,Acquired,Not available,Unlocking Virtual Power Plants for rental properties,https://www.glowenergy.com/,Not available,"Greg Sirotek
Founder
Greg is the co-founder and CEO of Glow Energy. Previously Greg co-founded a proptech startup that led to he and his co-founder joining Airbnb in 2015. At Airbnb, Greg started as a Supply Growth Lead and helped reaccelerate host growth in mature markets, and he left as the Head of Home Experience, Luxe. Greg started his career in Cleantech Investment Banking and is thrilled to combine his passion for climate technology, with his experience helping rental property owners run better businesses.","Ross Gruber
Founder
Ross is the co-founder and CTO of Glow Energy. Ross was previously a lead data engineer and engineering manager who helped scale engineering teams at YC and VC-backed startups like Dia&Co and Upkeep. Ross is passionate about sustainability and is focused on building decarbonization as a crucial building block on our way to a net-zero future.",Not available
https://www.ycombinator.com/companies/gluetrail,gluetrail,2022,Winter 2023,2,Active,"Paris, France",Create step by step articles with screenshots and videos 10x faster,https://www.gluetrail.com/,"ARTIFICIAL-INTELLIGENCE, PRODUCTIVITY, SALES-ENABLEMENT, MARKETING, CUSTOMER-SUPPORT","Anne-Charlotte Chauvet
Founder
I have 10+ years of experience in building/scaling Revenue Operations at B2B SaaS companies (from <$1M to $150M+ in ARR). Just before founding Gluetrail, I was responsible for Revenue Operations at Algolia (YC W14).","Baptiste Coquelle
Founder
10+ years in software development applied to Operation and Strategy.
I had the chance of joining Algolia early stage and to work on many different layers in the data space: data automation, data pipeline, data analytics and most recently, business modeling in sales led and product led motion, where there is still so much to do!",Not available
https://www.ycombinator.com/companies/go1,go1,2015,Summer 2015,650,Active,San Francisco,A learning platform that enables you to train your staff or customers.,https://go1.com/,ELEARNING,"Andrew Barnes
Founder/CEO","Chris Eigeland
Founder and CEO","Chris Hood
Founder/CTO"
https://www.ycombinator.com/companies/goat-group,goat-group,2015,Winter 2011,1600,Active,"Los Angeles, CA","Platform for the greatest products from the past, present and future.",https://www.goatgroup.com/,MARKETPLACE,"Eddy Lu
Founder","Daishin Sugano
Founder/CPO",Not available
https://www.ycombinator.com/companies/gobble,gobble,Not available,Winter 2014,73,Acquired,Palo Alto,"Daily meal delivery, personalized to your tastes.",http://gobble.com/,SUBSCRIPTIONS,"Ooshma Garg
Founder/CEO",Not available,Not available
https://www.ycombinator.com/companies/gobillion,gobillion,2020,Summer 2021,10,Inactive,"New Delhi, India",Pinduoduo for India,https://gobillion.co/,E-COMMERCE,"Roshan Farhan
Founder
Roshan is the Founder/CEO of Gobillion (YC S21).

He has 10+ years of founding startups, Management Consulting (w/Deloitte, EY and Accenture), advising startups and VC funds. 

He is the RCEP Global Tech 40u40 awardee, Economic Times Young Leader 2019, WEF Global Shaper, TedX speaker and busines thought leader. He has an IIM MBA grad + CS Engineering grad from NIT.","Kulapradip Bharali
Founder
Kulapradip is the Co-Founder/CTO of Gobillion. He has 8+ years of experience in Full Stack Tech Development and IT Consulting with SAP Labs and other high-growth startups. Has a B.Tech (Computer Science) from NIT Silchar",Not available
https://www.ycombinator.com/companies/gobuild-fka-brick,gobuild-fka-brick,2019,Winter 2021,18,Inactive,"Oakland, CA",The payments solution for small scale construction.,https://go.build/,"FINTECH, HOUSING, PROPTECH","Chapman Snowden
Founder
Chap is the cofounder and CEO of Brick (W21). Prior to founding Brick, he was an EIR at Precursor Ventures. He's an experienced operator with a focus on consumer products, having built and scaled ed tech products for Google and Dev Bootcamp. Chap’s 10+ year career spans finance, venture philanthropy, and education technology startups.","Drew Barrett
Founder
Drew is an entrepreneurial strategist who focuses on finance + operations and has built successful companies spanning multiple industries including real estate, food & beverage, and medical. He is a graduate of the University of Virginia and currently lives with his wife Dalit and two children – Ollie and Benji – in Austin, TX.",Not available
https://www.ycombinator.com/companies/gocardless,gocardless,2011,Summer 2011,900,Active,"London, United Kingdom",We’re building the world’s bank payment network.,http://gocardless.com/,"FINTECH, PAYMENTS","Hiroki Takeuchi
Founder/CEO
Hiroki is co-founder and CEO of GoCardless, a global leader in direct bank payment solutions. Prior to founding GoCardless, he worked as a Business Analyst at McKinsey & Co before succumbing to the entrepreneurial bug and enrolling in the Y Combinator program. He studied Mathematics at Oxford University where he served as Vice President of Oxford Entrepreneurs.","Tom Blomfield
Founder
Cofounded GoCardless (YC S2011) and Monzo (YC Continuity). Now a partner at YC, based in San Francisco.",Not available
https://www.ycombinator.com/companies/gocomm,gocomm,Not available,Summer 2013,2,Inactive,Mountain View,Mobile communications platform for teams working on live events,http://gocomm.com/,Not available,"Travis Dredd
Founder",Not available,Not available
https://www.ycombinator.com/companies/godela,godela,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
https://www.ycombinator.com/companies/godutch,godutch,Not available,Winter 2020,10,Inactive,India,Group payments product which lets people pay together at any offline…,https://godutchpay.in/,FINTECH,"Riyaz Khan
Founder
CPTO- goDutch","Sagar Sheth
Founder
Co-founder at goDutch (YC W20) | ex-VC at Eight Roads | IIT Bombay","Aniruddh Singh
Founder
Hi, I'm Aniruddh - ex-founder & CEO of goDutch (YC W20). Presently, I'm pursuing my MBA at Kellogg (Northwestern)."
https://www.ycombinator.com/companies/gogograndparent,gogograndparent,2016,Summer 2016,50,Active,San Francisco,"A concierge service for seniors’ rides, meals, meds, home and more.",https://gogograndparent.com/,"ASSISTIVE-TECH, CONSUMER-HEALTH-SERVICES","Justin Boogaard
Founder
Born: San Diego
Education: UCLA '11
Work:
Lionsgate (2012 - 2012)
Bubbleboard (2012 - 2014) - A company that helped short content producers publish videos in an open network of gyms and coffee shops
Soothe (2014 - 2015) - On demand body care
Hustle (2015-2016) - A company that recruited 1099 contractors for Uber, Postmates, Instacart, Lyft, Washio, DoorDash and others.
GoGo, YC16 (2016 - present) A company that manages the services older adults need to live independently in their home.","David Lung
Founder
I hope you're having a great day!",Not available
