company_urls,company_name,founded_date,batch,team_size,status,location,slogan,company_website_url,company_types,founder_1,founder_2,founder_3
https://www.ycombinator.com/companies/vedabio,vedabio,2021,Summer 2021,30,Active,"San Diego, CA",CRISPR powered Diagnostics with results in minutes.,https://www.vedabio.com/,HARD-TECH,"Anurup Ganguli
Founder
Passionate about leveraging technology to solve real-world problems and build solutions that scale.",Not available,Not available
https://www.ycombinator.com/companies/veera-health,veera-health,2020,Winter 2021,4,Active,India,We treat women with Polycystic Ovary Syndrome in India,https://www.veerahealth.com/,"CONSUMER-HEALTH-SERVICES, FEMTECH","Shashwata Narain
Founder","Shobhita Narain
Founder
Deep healthcare expertise with experience in the pharma, hospital, and health payer space. I've worked previously at UnitedHealth Group, Accenture Life Sciences & GlaxoSmithKline.",Not available
https://www.ycombinator.com/companies/veles,veles,2023,Winter 2024,5,Active,"Santa Barbara, CA",The Sales Calculator,http://www.getveles.com/,"B2B, SALES, AI","Simon Ooley
Founder
Simon is co-founder & CEO of Veles. Prior to founding Veles, Simon held multiple sales and sales leadership positions. Most recently at Procore Technologies (PCOR), Buildr CRM, and SINAI Technologies.","Patrick Koperwas
Founder
Co-founder and CTO at Veles. Early employee at Procore & Tegus. Degree in Machine Learning and Applied Statistics UCSB.",Not available
https://www.ycombinator.com/companies/vellum,vellum,2023,Winter 2023,23,Active,New York,The AI Product Development Platform,https://www.vellum.ai/,"DEVELOPER-TOOLS, SAAS, AI","Akash Sharma
Founder","Sidd Seethepalli
Founder
Vellum (W23)

Founding Eng at Dover (S19)","Noa Flaherty
Founder"
https://www.ycombinator.com/companies/velontra,velontra,2021,Summer 2022,5,Active,"Cincinnati, OH",Hypersonic space plane that can take-off from any location and weather,https://www.velontra.com/,"COMMERCIAL-SPACE-LAUNCH, HARDWARE, DRONES, AEROSPACE","Joel Darin
Founder
Most recently first employee at Hermeus where I designed, built and tested a Turbine-Based-Combined-Cycle prototype demonstrator up to Mach 4+. Prior to that I worked at GE Aviation in Afterburner Design. Before GE I was at Georgia Tech where I did research in computational fluid dynamic simulations of reacting flows while obtaining a MS in Combustion. I started at Michigan State University with a BS in Mechanical Engineering.",Not available,Not available
https://www.ycombinator.com/companies/velorum-therapeutics,velorum-therapeutics,2023,Winter 2024,3,Active,San Francisco,Powerful cancer drugs that starve tumors,https://www.velorumtx.com/,"BIOTECH, HEALTHCARE, THERAPEUTICS, DRUG-DISCOVERY, ONCOLOGY","Pouya Modareszadeh
Founder
Co-Founder & CEO of Velorum Therapeutics. BS in Biology, University of Texas at Dallas. Building new medicines.","Parsa Modareszadeh
Founder
Co-Founder and President @ Velorum Therapeutics. Goldwater Scholar. Working to create breakthrough medicines for devastating diseases.",Not available
https://www.ycombinator.com/companies/velos,velos,2021,Winter 2023,3,Active,San Francisco,Platform to automate manual back-office work,https://www.tryvelos.com/,"GENERATIVE-AI, REINFORCEMENT-LEARNING, ROBOTIC-PROCESS-AUTOMATION, AUTOMATION, AI","Oscar A. Martinez
Founder
Economist turned data scientist. Building tools to make natural language processing accessible to anyone.

Give me a shout if you want to talk about using reinforcement learning or NLP in your product.",Not available,Not available
https://www.ycombinator.com/companies/velt,velt,2020,Winter 2022,15,Active,San Francisco,Add powerful collaboration features to your product ridiculously fast.,https://velt.dev/,"DEVELOPER-TOOLS, SAAS, COLLABORATION, API, REMOTE-WORK","Rakesh Goyal
Founder
I am the co-founder & CEO of Velt. Previously, I was a Product Manager at Google for 9 yrs. I've launched strategic products like AR in Google Maps & Search.

Nothing great was ever built alone. Technology has made the world a small place. It enables people to work together no matter where they are. This was never possible before. Velt will make the world more collaborative & build more great things. 

I grew up in India & now live in San Francisco. I love camping 🏕 & star gazing 🌌",Not available,Not available
https://www.ycombinator.com/companies/vena-medical,vena-medical,2016,Winter 2018,7,Active,"Kitchener, Canada",Vena Medical is providing physicians with the world's smallest camera…,https://www.venamed.ca/,"HARDWARE, MEDICAL-DEVICES","Michael Phillips
Founder
Graduated from University of Waterloo with a Bachelor of Applied Science (B.A.Sc.) focused in Mechanical Engineering with an Entrepreneurship Option. Michael co-founded Vena Medical during the final year of his undergraduate degree and went full-time immediately after graduating. Attended TMCx Accelerator and Y Combinator in the year following. Published author in the Journal of Neuro-Interventional Surgery and the American Journal of Neuroradiology, and inventor on 5 granted patents.","Phillip Cooper
Founder",Not available
https://www.ycombinator.com/companies/vena-vitals,vena-vitals,2019,Summer 2020,9,Active,"Irvine, CA",A small sticker that monitors blood pressure continuously,http://venavitals.com/,"HARD-TECH, NANOSENSORS, HEALTH-TECH, MEDICAL-DEVICES, DIGITAL-HEALTH","Ray Liu
Founder
- Two health tech exits (to Cigna & Vizient)
- 15+ years leadership at GE Healthcare, Siemens, & startups (Ediom, Socialwellth)
- Built multiple products/services from ground zero, some with 2M+ users
- Set up quality system for factory in China that passed FDA inspection 
- MBA, Harvard Business School
- MS Electrical Engineering, University of California at Berkeley 
- BS Electrical Engineering, University of Illinois at Urbana-Champaign","Michelle Khine
Founder
Professor of Biomedical Engineering and Serial Entrepreneur","Josh Kim
Founder
PhD - Materials Science and Engineering, University of California, Irvine
MS - Materials Science and Engineering, University of California, Irvine
BS - Chemistry, University of Illinois, Urbana-Champaign"
