company_urls,company_name,founded_date,batch,team_size,status,location,slogan,company_website_url,company_types,founder_1,founder_2,founder_3
https://www.ycombinator.com/companies/groundcontrol,groundcontrol,2024,Spring 2025,4,Active,San Francisco,Vertical AI for highly-regulated manufacturing,https://rungroundcontrol.com/,"SAAS, MANUFACTURING, AEROSPACE","Mehul Shah
CEO & Co-Founder
Spent 8 years building software for my family business in PCB manufacturing.
Now Co-founder & CEO of GroundControl (X25).","Matthew Noseworthy
CTO & Co-Founder
Childhood script kiddie, ECE Undergrad, Founded/Exited inspectAR, now CTO @ GoundControl","Nick Warren
COO & Co-Founder
Now: Vertical AI for highly-regulated manufacturing

Prev: InspectAR (Acquired Cadence), Apple SPG (Satellite SOS)"
https://www.ycombinator.com/companies/javelin-robotics,javelin-robotics,2020,Winter 2021,5,Active,San Francisco,Copilot for truckers,https://javelinrobotics.com/,"AUTONOMOUS-TRUCKING, HARD-TECH, ROBOTICS, TRANSPORTATION, AI","Addwiteey Chrungoo
Founder
Co-Founder & CEO, Javelin Robotics","Sandesh Gowda
Founder
Building the future of Automation",Not available
https://www.ycombinator.com/companies/groww,groww,2016,Winter 2018,1050,Active,"Bengaluru, India","Making financial services simple, transparent and delightful.",https://groww.in/,"INDIA, INVESTING","Lalit Keshre
Founder/CEO","Ishan Bansal
Founder","Harsh Jain
Founder/COO"
https://www.ycombinator.com/companies/guardian-bio,guardian-bio,2022,Summer 2022,2,Active,Boston,Dendritic cell-based platform for cancer therapy,http://www.guardian-bio.com/,"BIOTECH, HEALTHCARE, THERAPEUTICS, ONCOLOGY","Ananya Zutshi
Founder
Ananya is Co-Founder and CEO of Guardian Bio, a company which controls immunity using dendritic cell-based therapies. 

She has a Bachelors in Science in Engineering from Duke and Masters in Engineering and MBA from Harvard. Her experiences span across the pharma/biotech industry in operations, engineering, project management, and early stage investing. She is passionate about delivering better therapies for patients and diversity, equity, and inclusion.","Ricky Barrett
Founder
Co-founder and CSO at Guardian Bio.

Ricky started his career as a marine biologist and research diver at FAU with a focus on marine natural products and drug discovery. 

He pursued a PhD at UCF, focused on immunology followed by a postdoc in cancer immunology and tumor microenvironment at the University of Pennsylvania.

Ricky is a prolific science communicator creating educational science content for an audience of over a quarter million followers across various social media platforms.",Not available
https://www.ycombinator.com/companies/extern,extern,2019,Winter 2017,30,Active,New York,"Professional Experience Anytime, Anywhere.",http://www.extern.com/,"EDUCATION, MARKETPLACE, ELEARNING, RECRUITING, REMOTE-WORK","Matt Wilkerson
Founder/CEO
Matt is the Co-founder & CEO of Extern (www.extern.com) which created the remote Externship, a new form of work experience that lets people quickly build their resumes while giving companies expert-designed, turnkey projects that drive business outcomes. Extern was a pivot from Paragon One which was YC'W17. Matt previously co-founded e-commerce marketplace AHAlife, started his career at Morgan Stanley and TCV, and holds degrees from MIT in Computer Science & Engineering and Management Science.",Not available,Not available
https://www.ycombinator.com/companies/explo,explo,2019,Winter 2020,24,Active,San Francisco,Embedded Analytics and Data Sharing Platform,https://explo.co/,"SAAS, ANALYTICS","Andrew Chen
Founder
Founder at Explo","Gary Lin
Founder",Not available
https://www.ycombinator.com/companies/finic,finic,2024,Winter 2023,2,Active,San Francisco,AI-Native Fincrime Platform,https://www.finic.ai/,"B2B, COMPLIANCE, AUTOMATION, FRAUD-DETECTION, AI","Jason Fan
Founder
Ex security & product @ Robinhood. University of Toronto Computer Science.","Ayan Bandyopadhyay
Founder
Founder @ Finic (YC W23). Caltech class of 2020, former software engineer at Robinhood.",Not available
https://www.ycombinator.com/companies/lygg,lygg,2020,Winter 2021,1,Active,Palo Alto,Creating New Anti-Aging Ingredients,http://www.lyggcorp.com/,"ANTI-AGING, BEAUTY","Graham Dick
Founder
Graham Dick is the CEO and founder of Lygg. Originally from Vancouver, Canada, Graham obtained his PhD in Chemistry from Stanford University and was a postdoc at EPFL in Lausanne, Switzerland. Recognizing the need for new sunscreen ingredients due to bans of existing ingredients in Hawaii, Graham returned to the US and founded Lygg in 2020.",Not available,Not available
https://www.ycombinator.com/companies/fightcamp,fightcamp,2014,Winter 2016,64,Active,"Newport Beach, CA",Home boxing gym with motion trackers that compute punches and reps.,http://joinfightcamp.com/,"HARDWARE, FITNESS, GAMING","Khalil Zahar
Founder/CEO
co-founder and CEO @ Fightcamp","Patrick Chandler
Founder/CMO
Currently running the FightCamp marketing team, deep knowledge in Paid Social (Facebook, Instagram), Content Marketing (Youtube, SEO), Website Optimization (CRO), Email marketing and Influencer marketing. Also created the attribution modeling framework and the data analysis system we use.

Ask me about marketing strategy, attribution, building a marketing team and marketing roadmaps / decision structures.","Alexandre Marcotte
Founder/CTO"
https://www.ycombinator.com/companies/expent-inc,expent-inc,2020,Winter 2021,2,Active,"Fremont, CA",Procure the right software 5x faster,https://www.expent.ai/,"MACHINE-LEARNING, SAAS, B2B","Harikrishna Narayanan
Founder
In 2020 Hari co-founded Expent. Prior to Expent, Hari was running the Machine Learning Services Product and Engineering group at Workday as a director where he was responsible for designing and executing the strategy & vision for multiple Machine Learning services. Before Workday, Hari led multiple data initiatives at Yahoo. Hari has a Masters in Computer Science from Georgia Institute of Technology and Bachelors from PSG Tech, India.","Srikanth Veeraraghavan
Founder
Srikanth is a co-founder of Expent. Prior to Expent, he was the Head of Security, Privacy and Compliance at PlanGrid. Prior to that, he was an early member of Zendesk’s Pre-IPO security team. He has more than 8+ years of extensive Security and Privacy experience working at various small, medium and large security companies. He has a Masters in Information Security from Johns Hopkins University and a Bachelors in Information Technology from Vellore Institute of Technology, India.",Not available
https://www.ycombinator.com/companies/fini,fini,2022,Summer 2022,14,Active,"Amsterdam, Netherlands",Fini | Automate 80% of enterprise support with AI agents,https://www.usefini.com/,"GENERATIVE-AI, MACHINE-LEARNING, SAAS, B2B, AI","Deepak Singla
Founder
Deepak Singla is the co-founder of Fini. Deepak leads Fini’s product strategy, and the mission to automate customer interactions for tech companies around the world. Originally from India, Deepak graduated from IIT Delhi where he received a Bachelor degree in Mechanical Engineering, and a minor degree in Business Management","Hakim K
Founder
Hakim is leading tech at Fini. Hakim has a background in software engineering and analytics across 4+ organizations and 10+ years of experience. Most recently at Uber, Hakim met Deepak. Originally from Sweden, Hakim graduated from École Polytechnique with a master's degree in Engineering Mathematics.",Not available
